customer_id,ultima_compra,dias_ultima_compra,estado_churn
1,2025-10-01,90,Activo
2,2025-10-30,61,Activo
3,2025-11-07,53,Activo
4,2025-12-12,18,Activo
5,2025-12-07,23,Activo
6,2025-12-12,18,Activo
7,2025-12-05,25,Activo
8,2025-08-01,151,Activo
9,2025-12-27,3,Activo
10,2025-12-04,26,Activo
11,2025-12-16,14,Activo
12,2025-07-21,162,Activo
13,2025-11-25,35,Activo
14,2025-11-29,31,Activo
15,2025-07-02,181,En riesgo
16,2025-12-11,19,Activo
17,2025-11-05,55,Activo
18,2025-08-02,150,Activo
19,2025-12-08,22,Activo
20,2025-12-13,17,Activo
21,2025-08-16,136,Activo
22,2025-08-27,125,Activo
23,2025-07-11,172,Activo
24,2025-02-23,310,En riesgo
25,2025-09-05,116,Activo
26,2025-12-18,12,Activo
27,2025-10-04,87,Activo
28,2025-01-27,337,En riesgo
29,2025-12-25,5,Activo
30,2025-01-31,333,En riesgo
31,2025-12-19,11,Activo
32,2025-12-17,13,Activo
33,2025-12-06,24,Activo
34,2025-09-16,105,Activo
35,2025-11-06,54,Activo
36,2025-08-24,128,Activo
37,2025-12-01,29,Activo
38,2025-06-11,202,En riesgo
39,2025-04-14,260,En riesgo
40,2025-10-30,61,Activo
41,2024-01-26,704,Perdido
42,2025-12-21,9,Activo
43,2025-11-17,43,Activo
44,2025-07-21,162,Activo
45,2025-11-25,35,Activo
46,2025-12-29,1,Activo
47,2025-11-24,36,Activo
48,2025-03-08,297,En riesgo
49,2025-06-30,183,En riesgo
50,2025-09-12,109,Activo
51,2025-09-25,96,Activo
52,2025-10-20,71,Activo
53,2025-05-26,218,En riesgo
54,2025-05-25,219,En riesgo
55,2025-07-13,170,Activo
56,2025-10-23,68,Activo
57,2025-05-18,226,En riesgo
58,2025-10-12,79,Activo
59,2025-05-11,233,En riesgo
60,2025-12-28,2,Activo
61,2025-10-10,81,Activo
62,2025-12-14,16,Activo
63,2025-12-09,21,Activo
64,2025-08-23,129,Activo
65,2024-09-06,480,Perdido
66,2025-09-19,102,Activo
67,2025-10-03,88,Activo
68,2025-06-01,212,En riesgo
69,2025-11-27,33,Activo
70,2025-11-17,43,Activo
71,2025-07-11,172,Activo
72,2025-12-10,20,Activo
73,2025-09-04,117,Activo
74,2025-10-15,76,Activo
75,2025-08-09,143,Activo
76,2025-08-10,142,Activo
77,2025-11-25,35,Activo
78,2025-09-04,117,Activo
79,2025-12-05,25,Activo
80,2025-12-29,1,Activo
81,2025-12-07,23,Activo
82,2025-01-05,359,En riesgo
83,2025-11-09,51,Activo
84,2025-11-14,46,Activo
85,2025-07-03,180,En riesgo
86,2025-11-05,55,Activo
87,2025-09-06,115,Activo
88,2025-12-08,22,Activo
89,2025-11-01,59,Activo
90,2025-11-16,44,Activo
91,2025-10-31,60,Activo
92,2025-12-08,22,Activo
93,2025-09-17,104,Activo
94,2024-08-26,491,Perdido
95,2025-12-13,17,Activo
96,2025-02-19,314,En riesgo
97,2025-11-08,52,Activo
98,2025-12-18,12,Activo
99,2025-03-30,275,En riesgo
100,2024-10-25,431,Perdido
101,2025-12-20,10,Activo
102,2025-11-24,36,Activo
103,2025-11-15,45,Activo
104,2025-04-30,244,En riesgo
105,2025-06-17,196,En riesgo
106,2025-12-09,21,Activo
107,2025-02-23,310,En riesgo
108,2025-12-09,21,Activo
109,2025-06-27,186,En riesgo
110,2025-11-14,46,Activo
111,2025-09-03,118,Activo
112,2025-08-16,136,Activo
113,2025-12-10,20,Activo
114,2025-07-24,159,Activo
115,2024-06-19,559,Perdido
116,2025-10-21,70,Activo
117,2025-10-10,81,Activo
118,2025-11-08,52,Activo
119,2025-12-08,22,Activo
120,2024-10-25,431,Perdido
121,2025-12-07,23,Activo
122,2025-09-03,118,Activo
123,2025-08-27,125,Activo
124,2025-07-27,156,Activo
125,2025-12-21,9,Activo
126,2025-11-03,57,Activo
127,2025-10-28,63,Activo
128,2025-10-18,73,Activo
129,2025-10-27,64,Activo
