customer_id,ingresos,margen_ratio,frecuencia,anios_relacion,cltv,dias_ultima_compra,estado_churn,items_comprados,items_devueltos,return_rate
183,24922.0,0.4015,33,6.79,2240278.36,73,Activo,97,6,0.0619
212,21281.51,0.4,34,6.54,1893376.58,147,Activo,86,2,0.0233
228,22268.34,0.4,30,6.94,1855647.57,8,Activo,81,2,0.0247
456,21566.04,0.4003,31,6.38,1708237.37,157,Activo,83,5,0.0602
750,19911.4,0.4042,31,6.75,1685476.79,38,Activo,87,6,0.069
500,19215.39,0.4006,32,6.56,1614889.08,72,Activo,82,2,0.0244
343,21167.8,0.4012,30,6.33,1611300.23,46,Activo,86,4,0.0465
306,19816.97,0.4024,28,6.96,1554877.81,12,Activo,71,6,0.0845
214,19872.08,0.4018,29,6.59,1526221.22,8,Activo,79,6,0.0759
163,18357.35,0.402,31,6.67,1525218.11,35,Activo,79,3,0.038
26,19362.69,0.4031,28,6.94,1517605.62,12,Activo,73,4,0.0548
140,21428.61,0.4023,28,6.28,1514722.31,169,Activo,83,5,0.0602
301,20255.17,0.4012,27,6.8,1491755.07,67,Activo,75,5,0.0667
559,21108.81,0.4,26,6.72,1474575.4,21,Activo,69,4,0.058
198,19748.36,0.4,28,6.62,1465098.59,85,Activo,82,6,0.0732
394,17004.64,0.4028,32,6.65,1457942.14,27,Activo,73,3,0.0411
448,20002.52,0.4006,27,6.73,1456775.07,37,Activo,68,4,0.0588
265,19649.85,0.4037,27,6.6,1412714.94,85,Activo,74,5,0.0676
380,18646.22,0.402,28,6.6,1385400.41,75,Activo,68,5,0.0735
542,20042.69,0.4036,25,6.84,1383831.82,12,Activo,73,5,0.0685
373,17321.61,0.4,29,6.69,1345261.2,6,Activo,75,6,0.08
72,16571.85,0.4015,29,6.83,1317564.26,20,Activo,78,5,0.0641
217,17825.97,0.402,27,6.8,1316110.35,28,Activo,75,2,0.0267
656,17350.94,0.4,29,6.52,1313361.87,108,Activo,67,4,0.0597
