customer_id,ingresos,margen_total,frecuencia,primera_compra,ultima_compra,anios_relacion,margen_ratio,cltv
1,11732.550000000001,4688.4800000000005,22,2020-06-29,2025-10-01,6.256673511293634,0.39961304234799766,645354.3497330596
2,12744.26,5098.08,24,2020-03-02,2025-10-30,6.661875427789186,0.4000295034784287,815106.5731416838
3,19862.510000000002,7957.43,24,2020-08-17,2025-11-07,6.223819301848049,0.40062560069195685,1188614.5542505134
4,8203.76,3317.69,10,2020-04-19,2025-12-12,6.648186173853525,0.40441090426828674,220566.20787132104
5,10938.050000000001,4411.450000000001,22,2020-03-17,2025-12-07,6.724845995893224,0.40331229058195933,652659.0811088297
6,12239.640000000001,4920.1,20,2020-04-19,2025-12-12,6.648186173853525,0.40198077721240166,654194.8158795346
7,8226.7,3290.92,17,2020-01-23,2025-12-05,6.867214236824093,0.40002917330156684,384190.69549623545
8,11132.630000000001,4453.320000000001,18,2020-03-20,2025-08-01,6.366187542778919,0.4000240733770906,510312.0655441479
9,9479.85,3840.1200000000003,14,2020-10-28,2025-12-27,6.163586584531143,0.40508235889808386,331364.7696098563
10,9605.2,3842.28,20,2020-01-16,2025-12-04,6.883641341546886,0.40002082205472034,528977.5490759754
11,9557.4,3823.1600000000003,17,2020-01-15,2025-12-16,6.919233401779603,0.4000209261933162,449706.718329911
12,13792.99,5517.56,19,2020-05-10,2025-07-21,6.196440793976728,0.40002639021705955,649595.4434770705
13,10223.87,4089.8400000000006,17,2020-06-24,2025-11-25,6.420944558521561,0.4000285606135446,446430.81018480496
14,19501.690000000002,7836.97,22,2020-01-26,2025-11-29,6.842573579739904,0.40186106947654276,1179750.9650787131
15,3858.51,1543.4800000000002,10,2020-05-28,2025-07-02,6.0951403148528405,0.40001969672230997,94077.27173169063
16,10076.33,4030.7600000000007,17,2020-05-09,2025-12-11,6.590691307323751,0.4000226272859266,451613.4131964409
17,13182.980000000001,5273.4400000000005,19,2020-02-08,2025-11-05,6.7412731006160165,0.40001881213504076,675444.2851745381
18,11084.23,4505.9400000000005,20,2020-01-08,2025-08-02,6.566050650239562,0.4065180892132336,591724.6053388092
19,14318.16,5823.52,24,2020-01-16,2025-12-08,6.894592744695414,0.4067226515138817,963619.1697741274
20,12351.5,4940.84,18,2020-08-29,2025-12-13,6.28952772073922,0.4000194308383597,559359.902587269
21,11150.97,4496.610000000001,25,2020-02-15,2025-08-16,6.500342231348392,0.4032483272755644,730737.5970225874
22,12849.0,5175.85,20,2020-01-14,2025-08-27,6.618069815195072,0.4028212312242198,685082.7330595482
23,12712.12,5109.14,26,2020-03-24,2025-07-11,6.297741273100616,0.401910932244189,836577.0880492814
24,9737.4,3907.1900000000005,21,2020-02-06,2025-02-23,6.048596851471594,0.40125598208967495,496293.3597741273
25,17297.28,6955.250000000001,27,2020-04-09,2025-09-05,6.4072553045859,0.4021007927257928,1203229.6863449693
