customer_id,ingresos,margen_ratio,frecuencia,anios_relacion,cltv,dias_ultima_compra,estado_churn,items_comprados,items_devueltos,return_rate,cluster,cluster_label,churn_proba
183,24922.0,0.4015,33,6.79,2240278.36,73,Activo,97,6,0.0619,2,VIP Champion,0.0013
212,21281.51,0.4,34,6.54,1893376.58,147,Activo,86,2,0.0233,2,VIP Champion,0.001
228,22268.34,0.4,30,6.94,1855647.57,8,Activo,81,2,0.0247,2,VIP Champion,0.0014
456,21566.04,0.4003,31,6.38,1708237.37,157,Activo,83,5,0.0602,2,VIP Champion,0.0012
750,19911.4,0.4042,31,6.75,1685476.79,38,Activo,87,6,0.069,2,VIP Champion,0.0248
500,19215.39,0.4006,32,6.56,1614889.08,72,Activo,82,2,0.0244,2,VIP Champion,0.001
343,21167.8,0.4012,30,6.33,1611300.23,46,Activo,86,4,0.0465,2,VIP Champion,0.0013
306,19816.97,0.4024,28,6.96,1554877.81,12,Activo,71,6,0.0845,2,VIP Champion,0.0013
214,19872.08,0.4018,29,6.59,1526221.22,8,Activo,79,6,0.0759,2,VIP Champion,0.0012
163,18357.35,0.402,31,6.67,1525218.11,35,Activo,79,3,0.038,2,VIP Champion,0.001
26,19362.69,0.4031,28,6.94,1517605.62,12,Activo,73,4,0.0548,2,VIP Champion,0.0028
140,21428.61,0.4023,28,6.28,1514722.31,169,Activo,83,5,0.0602,2,VIP Champion,0.0014
301,20255.17,0.4012,27,6.8,1491755.07,67,Activo,75,5,0.0667,2,VIP Champion,0.0013
559,21108.81,0.4,26,6.72,1474575.4,21,Activo,69,4,0.058,2,VIP Champion,0.0012
198,19748.36,0.4,28,6.62,1465098.59,85,Activo,82,6,0.0732,2,VIP Champion,0.0011
394,17004.64,0.4028,32,6.65,1457942.14,27,Activo,73,3,0.0411,2,VIP Champion,0.0096
448,20002.52,0.4006,27,6.73,1456775.07,37,Activo,68,4,0.0588,2,VIP Champion,0.0012
265,19649.85,0.4037,27,6.6,1412714.94,85,Activo,74,5,0.0676,2,VIP Champion,0.0012
380,18646.22,0.402,28,6.6,1385400.41,75,Activo,68,5,0.0735,2,VIP Champion,0.0036
542,20042.69,0.4036,25,6.84,1383831.82,12,Activo,73,5,0.0685,2,VIP Champion,0.001
373,17321.61,0.4,29,6.69,1345261.2,6,Activo,75,6,0.08,2,VIP Champion,0.0009
72,16571.85,0.4015,29,6.83,1317564.26,20,Activo,78,5,0.0641,2,VIP Champion,0.0027
217,17825.97,0.402,27,6.8,1316110.35,28,Activo,75,2,0.0267,2,VIP Champion,0.0013
656,17350.94,0.4,29,6.52,1313361.87,108,Activo,67,4,0.0597,2,VIP Champion,0.001
468,17868.43,0.4027,27,6.61,1283667.44,114,Activo,73,4,0.0548,2,VIP Champion,0.001
665,18164.13,0.402,28,6.26,1280909.54,21,Activo,74,7,0.0946,2,VIP Champion,0.001
148,16577.85,0.4007,30,6.31,1257909.13,225,En riesgo,73,1,0.0137,2,VIP Champion,0.0011
98,17136.81,0.4014,27,6.72,1249051.24,12,Activo,77,5,0.0649,2,VIP Champion,0.001
293,15719.81,0.4,29,6.72,1226351.52,35,Activo,61,0,0.0,2,VIP Champion,0.0011
25,17297.28,0.4021,27,6.41,1203229.69,116,Activo,64,3,0.0469,2,VIP Champion,0.001
175,16408.21,0.4037,28,6.49,1203032.56,93,Activo,71,0,0.0,2,VIP Champion,0.0011
629,13257.48,0.4009,33,6.83,1197332.78,55,Activo,64,5,0.0781,2,VIP Champion,0.0018
476,16381.75,0.4,28,6.52,1196749.52,65,Activo,75,2,0.0267,2,VIP Champion,0.0011
718,19241.35,0.4,26,5.98,1196211.79,335,En riesgo,69,6,0.087,2,VIP Champion,0.001
3,19862.51,0.4006,24,6.22,1188614.55,53,Activo,72,5,0.0694,2,VIP Champion,0.0043
84,17452.59,0.4,25,6.8,1186622.97,46,Activo,62,4,0.0645,2,VIP Champion,0.001
251,16686.8,0.4,27,6.56,1181921.6,111,Activo,66,2,0.0303,2,VIP Champion,0.0013
289,16354.96,0.4008,27,6.67,1180388.64,8,Activo,61,3,0.0492,2,VIP Champion,0.0009
14,19501.69,0.4019,22,6.84,1179750.97,31,Activo,57,0,0.0,2,VIP Champion,0.0033
295,17630.54,0.4021,28,5.92,1174985.06,32,Activo,69,5,0.0725,2,VIP Champion,0.0009
53,17803.5,0.4007,26,6.22,1154378.44,218,En riesgo,60,3,0.05,2,VIP Champion,0.0013
481,17620.89,0.4021,24,6.75,1147632.49,36,Activo,65,1,0.0154,2,VIP Champion,0.0013
313,16595.68,0.4,27,6.38,1144047.68,110,Activo,71,2,0.0282,2,VIP Champion,0.001
475,16345.53,0.4,26,6.72,1142317.14,22,Activo,59,2,0.0339,2,VIP Champion,0.001
419,16179.02,0.4037,26,6.72,1141634.31,78,Activo,69,1,0.0145,2,VIP Champion,0.0037
638,17945.76,0.402,24,6.57,1137408.85,135,Activo,73,4,0.0548,2,VIP Champion,0.0011
376,15388.67,0.4063,27,6.73,1136531.03,39,Activo,69,4,0.058,2,VIP Champion,0.0075
574,18152.3,0.4007,23,6.78,1134133.55,2,Activo,67,2,0.0299,2,VIP Champion,0.0013
34,15273.41,0.4,28,6.6,1128888.91,105,Activo,64,3,0.0469,2,VIP Champion,0.001
191,14493.63,0.4025,28,6.86,1120842.21,28,Activo,71,1,0.0141,2,VIP Champion,0.0011
137,16644.65,0.4007,26,6.45,1119263.09,10,Activo,67,1,0.0149,2,VIP Champion,0.0049
675,17717.63,0.4021,26,6.01,1113153.49,159,Activo,64,2,0.0312,2,VIP Champion,0.0009
339,15516.12,0.4008,28,6.39,1112347.7,67,Activo,67,3,0.0448,2,VIP Champion,0.0046
687,14846.42,0.4024,29,6.39,1107824.76,8,Activo,66,2,0.0303,2,VIP Champion,0.0118
366,15242.85,0.404,28,6.4,1103718.27,103,Activo,70,5,0.0714,2,VIP Champion,0.0373
187,15409.09,0.4024,28,6.33,1098035.48,207,En riesgo,71,3,0.0423,2,VIP Champion,0.0024
83,17082.12,0.4,24,6.68,1095682.07,51,Activo,66,4,0.0606,2,VIP Champion,0.0013
110,13669.06,0.4053,29,6.82,1095357.24,46,Activo,59,2,0.0339,2,VIP Champion,0.0095
285,16175.71,0.4008,26,6.49,1094699.23,123,Activo,63,1,0.0159,2,VIP Champion,0.0034
287,15859.79,0.4015,26,6.6,1093065.41,4,Activo,62,4,0.0645,2,VIP Champion,0.001
642,15811.27,0.4023,28,6.13,1091425.97,253,En riesgo,72,4,0.0556,2,VIP Champion,0.0011
331,16124.97,0.4008,25,6.75,1091336.78,50,Activo,72,6,0.0833,2,VIP Champion,0.0009
342,16692.81,0.4007,25,6.51,1089398.48,60,Activo,75,8,0.1067,2,VIP Champion,0.001
565,14782.01,0.4025,28,6.54,1088727.44,39,Activo,75,5,0.0667,2,VIP Champion,0.0102
393,18363.8,0.4007,23,6.39,1080599.65,205,En riesgo,63,5,0.0794,2,VIP Champion,0.0012
31,14877.65,0.4016,27,6.68,1077452.89,11,Activo,65,3,0.0462,2,VIP Champion,0.001
168,14967.63,0.4,26,6.91,1074995.45,7,Activo,60,7,0.1167,2,VIP Champion,0.001
171,16096.42,0.4015,26,6.38,1072045.15,75,Activo,66,3,0.0455,2,VIP Champion,0.0009
499,16554.66,0.4,25,6.47,1071178.24,11,Activo,61,8,0.1311,2,VIP Champion,0.005
693,16539.91,0.4022,24,6.64,1060104.56,11,Activo,68,2,0.0294,2,VIP Champion,0.0013
231,16619.96,0.4,24,6.64,1059908.76,103,Activo,62,3,0.0484,2,VIP Champion,0.0011
117,15313.32,0.4,26,6.63,1056660.93,81,Activo,64,4,0.0625,2,VIP Champion,0.001
272,17590.63,0.4014,24,6.21,1051872.9,77,Activo,62,6,0.0968,2,VIP Champion,0.0013
323,16130.76,0.4037,25,6.42,1044545.79,200,En riesgo,61,4,0.0656,2,VIP Champion,0.0028
166,13955.23,0.4026,27,6.88,1042989.68,26,Activo,62,2,0.0323,2,VIP Champion,0.0024
32,13250.05,0.4,29,6.77,1039999.43,13,Activo,67,5,0.0746,2,VIP Champion,0.004
226,15542.76,0.4,25,6.68,1037636.42,17,Activo,64,4,0.0625,2,VIP Champion,0.0011
267,16439.27,0.4,23,6.77,1024165.34,50,Activo,55,2,0.0364,2,VIP Champion,0.001
149,15023.81,0.4032,25,6.75,1023005.27,42,Activo,63,4,0.0635,2,VIP Champion,0.0139
58,13535.08,0.4036,28,6.67,1020575.23,79,Activo,63,5,0.0794,2,VIP Champion,0.0148
288,14314.9,0.4025,27,6.55,1018995.34,132,Activo,62,3,0.0484,2,VIP Champion,0.001
296,15984.98,0.4038,23,6.84,1015373.96,13,Activo,70,2,0.0286,2,VIP Champion,0.0027
249,15903.37,0.4053,25,6.29,1013067.46,232,En riesgo,72,5,0.0694,2,VIP Champion,0.0045
134,14418.03,0.4017,27,6.47,1012187.56,75,Activo,61,3,0.0492,2,VIP Champion,0.0071
230,16722.34,0.4,24,6.28,1008864.84,84,Activo,63,2,0.0317,2,VIP Champion,0.0014
610,16279.06,0.4059,23,6.62,1005828.55,92,Activo,60,3,0.05,2,VIP Champion,0.008
371,16650.38,0.4007,24,6.25,1001512.76,222,En riesgo,61,1,0.0164,2,VIP Champion,0.0043
554,15191.35,0.404,24,6.72,989648.75,85,Activo,50,2,0.04,2,VIP Champion,0.001
141,15491.49,0.4031,28,5.62,982482.79,37,Activo,68,1,0.0147,2,VIP Champion,0.001
589,15280.48,0.4,24,6.65,975304.87,9,Activo,67,4,0.0597,2,VIP Champion,0.0013
182,14751.84,0.4041,24,6.81,973845.44,38,Activo,69,2,0.029,2,VIP Champion,0.0024
384,15377.76,0.4019,23,6.83,971382.49,19,Activo,70,4,0.0571,2,VIP Champion,0.0012
455,14861.35,0.4016,24,6.75,966483.1,23,Activo,54,4,0.0741,2,VIP Champion,0.001
138,15837.17,0.4008,22,6.92,965800.76,22,Activo,48,0,0.0,2,VIP Champion,0.001
271,14361.02,0.4,25,6.71,964242.83,96,Activo,60,2,0.0333,2,VIP Champion,0.001
606,15270.53,0.4008,24,6.56,964099.72,4,Activo,54,2,0.037,2,VIP Champion,0.001
19,14318.16,0.4067,24,6.89,963619.17,22,Activo,56,4,0.0714,2,VIP Champion,0.0039
538,14495.63,0.4033,25,6.59,962514.87,87,Activo,72,4,0.0556,2,VIP Champion,0.0029
630,17686.67,0.4,22,6.18,961924.57,252,En riesgo,60,6,0.1,2,VIP Champion,0.0045
487,15582.85,0.4,23,6.7,960222.34,30,Activo,59,6,0.1017,2,VIP Champion,0.0013
417,14381.37,0.4034,25,6.59,955007.72,62,Activo,67,3,0.0448,2,VIP Champion,0.0022
733,14144.04,0.4043,25,6.68,954655.0,69,Activo,61,1,0.0164,2,VIP Champion,0.0024
97,16887.08,0.4,21,6.73,954358.36,52,Activo,53,3,0.0566,2,VIP Champion,0.0044
310,14960.6,0.4016,24,6.6,951995.96,102,Activo,59,2,0.0339,2,VIP Champion,0.001
259,15647.78,0.4008,23,6.57,948302.96,45,Activo,66,1,0.0152,2,VIP Champion,0.0032
420,16707.25,0.4,23,6.17,948280.12,148,Activo,63,2,0.0317,2,VIP Champion,0.0049
557,14615.91,0.4008,24,6.74,947877.47,56,Activo,65,1,0.0154,2,VIP Champion,0.0011
44,15183.98,0.4048,24,6.39,942657.38,162,Activo,66,2,0.0303,2,VIP Champion,0.0019
591,14533.23,0.4025,25,6.42,938199.77,56,Activo,67,3,0.0448,2,VIP Champion,0.001
577,15343.08,0.4031,24,6.32,937754.33,56,Activo,56,2,0.0357,2,VIP Champion,0.0016
745,14920.69,0.4073,25,6.14,933428.28,240,En riesgo,66,4,0.0606,2,VIP Champion,0.0149
195,15477.22,0.4039,24,6.22,933339.89,19,Activo,66,2,0.0303,2,VIP Champion,0.001
651,14031.59,0.4,26,6.39,933057.59,179,Activo,60,2,0.0333,2,VIP Champion,0.0052
521,13790.37,0.4044,27,6.19,931721.83,164,Activo,60,4,0.0667,2,VIP Champion,0.0071
102,14372.33,0.4,24,6.74,930556.97,36,Activo,59,2,0.0339,2,VIP Champion,0.0013
721,15357.43,0.4,23,6.58,929693.3,43,Activo,65,2,0.0308,2,VIP Champion,0.0013
269,13188.47,0.4,26,6.77,929205.42,9,Activo,64,3,0.0469,2,VIP Champion,0.0018
694,15996.38,0.4045,21,6.83,928347.36,58,Activo,67,3,0.0448,2,VIP Champion,0.0122
156,14788.68,0.4025,23,6.77,926190.74,15,Activo,58,1,0.0172,2,VIP Champion,0.0024
112,14876.13,0.4,24,6.47,924463.5,136,Activo,57,5,0.0877,2,VIP Champion,0.0009
447,13435.37,0.4054,25,6.78,923114.14,29,Activo,56,2,0.0357,2,VIP Champion,0.0083
472,15607.77,0.4016,23,6.4,922826.64,16,Activo,57,2,0.0351,2,VIP Champion,0.0014
152,14183.51,0.4009,24,6.76,922515.86,70,Activo,61,3,0.0492,2,VIP Champion,0.0011
723,16218.99,0.4,21,6.77,922215.24,73,Activo,66,4,0.0606,2,VIP Champion,0.0013
566,14658.19,0.4025,24,6.47,916123.42,180,En riesgo,62,0,0.0,2,VIP Champion,0.0024
335,13191.77,0.4064,25,6.82,914502.22,53,Activo,57,4,0.0702,2,VIP Champion,0.0023
241,14192.66,0.4026,25,6.39,913226.61,47,Activo,59,6,0.1017,2,VIP Champion,0.0076
364,14733.69,0.4033,23,6.65,908924.59,23,Activo,62,1,0.0161,2,VIP Champion,0.002
291,14083.3,0.4068,24,6.59,905912.11,22,Activo,59,2,0.0339,2,VIP Champion,0.0024
509,13116.79,0.4,27,6.39,905770.11,7,Activo,61,2,0.0328,2,VIP Champion,0.0011
732,14120.82,0.3999,23,6.97,905457.31,9,Activo,64,3,0.0469,2,VIP Champion,0.0011
590,15341.3,0.4024,22,6.65,903219.29,101,Activo,64,3,0.0469,2,VIP Champion,0.0142
436,14732.31,0.4,22,6.96,902063.11,1,Activo,55,4,0.0727,2,VIP Champion,0.0012
